"Senator","State","Amount"
"Manchin Joe (D-WV)","West Virginia","$268735"
"Pryor Mark (D-AR)","Arkansas","$263870"
"Talent James M (R-MO)","Missouri","$263423"
"Coons Chris (D-DE)","Delaware","$258166"
"Risch James E (R-ID)","Idaho","$255787"
"Inhofe James M (R-OK)","Oklahoma","$253275"
"Merkley Jeff (D-OR)","Oregon","$250147"
"Boschwitz Rudy (R-MN)","Minnesota","$245720"
"Nelson Ben (D-NE)","Nebraska","$244973"
"Heitkamp Heidi (D-ND)","North Dakota","$244148"
"Cleland Max (D-GA)","Georgia","$242671"
"Cotton Tom (R-AR)","Arkansas","$237739"
"Dorgan Byron L (D-ND)","North Dakota","$236369"
"Allen George (R-VA)","Virginia","$235740"
"Burr Richard (R-NC)","North Carolina","$234336"
"King Angus (I-ME)","Maine","$234026"
"DeWine Mike (R-OH)","Ohio","$229813"
"Kennedy John (R-LA)","Louisiana","$225192"
"Simon Paul (D-IL)","Illinois","$224992"
"Torricelli Robert G (D-NJ)","New Jersey","$215736"
"Sessions Jeff (R-AL)","Alabama","$215450"
"Vitter David (R-LA)","Louisiana","$212055"
"Franken Al (D-MN)","Minnesota","$211498"
"Heller Dean (R-NV)","Nevada","$203992"
"Bond Christopher ""Kit"" (R-MO)","Missouri","$203500"
"Hatch Orrin G (R-UT)","Utah","$203383"
"Curtis John (R-UT)","Utah","$198448"
"Schatz Brian (D-HI)","Hawaii","$196170"
"Pressler Larry (I-SD)","South Dakota","$195886"
"Carnahan Jean (D-MO)","Missouri","$194283"
"Carper Tom (D-DE)","Delaware","$194270"
"Brown Scott (R-NH)","New Hampshire","$191100"
"Stevens Ted (R-AK)","Alaska","$187800"
"Wofford Harris (D-PA)","Pennsylvania","$187050"
"Lincoln Blanche (D-AR)","Arkansas","$185955"
"Kasten Bob (R-WI)","Wisconsin","$185623"
"Bunning Jim (R-KY)","Kentucky","$183060"
"Gorton Slade (R-WA)","Washington","$181400"
"Rounds Mike (R-SD)","South Dakota","$177950"
"Begich Mark (D-AK)","Alaska","$174539"
"Lugar Richard G (R-IN)","Indiana","$172560"
"Jones Doug (D-AL)","Alabama","$168912"
"Corker Bob (R-TN)","Tennessee","$168083"
"Vance J D (R-OH)","Ohio","$167324"
"Packwood Bob (R-OR)","Oregon","$165228"
"Braun Carol Moseley (D)","","$163010"
"Kerrey Bob (D-NE)","Nebraska","$161150"
"Kerry John (D-MA)","Massachusetts","$160571"
"Isakson Johnny (R-GA)","Georgia","$158900"
"Budd Ted (R-NC)","North Carolina","$158495"
"Murphy Christopher S (D-CT)","Connecticut","$154153"
"Sarbanes Paul S (D-MD)","Maryland","$153363"
"Capito Shelley Moore (R-WV)","West Virginia","$150050"
"Campbell Ben Nighthorse (R-CO)","Colorado","$146701"
"Hyde-Smith Cindy (R-MS)","Mississippi","$146607"
"Pell Claiborne (D-RI)","Rhode Island","$146150"
"Graham Bob (D-FL)","Florida","$145596"
"Chambliss Saxby (R-GA)","Georgia","$145400"
"Glenn John (D-OH)","Ohio","$144450"
"Cohen William S (R-ME)","Maine","$142244"
"Flake Jeff (R-AZ)","Arizona","$142200"
"Snowe Olympia (R-ME)","Maine","$142100"
"Markey Ed (D-MA)","Massachusetts","$141671"
"Welch Peter (D-VT)","Vermont","$140458"
"Dole Elizabeth (R-NC)","North Carolina","$139130"
"Donnelly Joe (D-IN)","Indiana","$136783"
"Sheehy Tim (R-MT)","Montana","$135102"
"Leahy Patrick (D-VT)","Vermont","$134616"
"Smith Tina (D-MN)","Minnesota","$131416"
"Sullivan Dan (R-AK)","Alaska","$131183"
"Akaka Daniel K (D-HI)","Hawaii","$129850"
"Bingaman Jeff (D-NM)","New Mexico","$124683"
"Martinez Mel (R-FL)","Florida","$122499"
"Enzi Mike (R-WY)","Wyoming","$121825"
"Hagan Kay R (D-NC)","North Carolina","$121455"
"Coats Dan (R-IN)","Indiana","$119800"
"Voinovich George V (R-OH)","Ohio","$113400"
"Fowler Wyche Jr (D-GA)","Georgia","$113190"
"Kennedy Edward M (D-MA)","Massachusetts","$109300"
"Smith Bob (R-NH)","New Hampshire","$108894"
"Justice Jim (R-WV)","West Virginia","$107285"
"Salazar Ken (D-CO)","Colorado","$104000"
"Britt Katie Boyd (R-AL)","Alabama","$103857"
"Gramm Phil (R-TX)","Texas","$102725"
"Cochran Thad (R-MS)","Mississippi","$101500"
"Warner John W (R-VA)","Virginia","$99950"
"Hutchinson Tim (R-AR)","Arkansas","$99300"
"Lujan Ben Ray (D-NM)","New Mexico","$92618"
"Nickles Don (R-OK)","Oklahoma","$92550"
"Marshall Roger (R-KS)","Kansas","$92400"
"Mullin Markwayne (R-OK)","Oklahoma","$91000"
"Ensign John (R-NV)","Nevada","$89800"
"Lott Trent (R-MS)","Mississippi","$89700"
"Heflin Howell (D-AL)","Alabama","$89600"
"Abraham Spencer (R-MI)","Michigan","$89450"
"Mack Connie (R-FL)","Florida","$89350"
"Allard Wayne (R-CO)","Colorado","$84500"
"Johanns Mike (R-NE)","Nebraska","$81785"
"DeMint Jim (R-SC)","South Carolina","$81700"
"Alexander Lamar (R-TN)","Tennessee","$81175"
"Sanders Bernie (I-VT)","Vermont","$80665"
"Schmitt Eric (R-MO)","Missouri","$80550"
"Rochester Lisa Blunt (D-DE)","Delaware","$80435"
"Johnston J Bennett (D-LA)","Louisiana","$79600"
"Coverdell Paul (R-GA)","Georgia","$75700"
"Braun Mike (R-IN)","Indiana","$75050"
"Bryan Richard H (D-NV)","Nevada","$72410"
"Hollings Fritz (D-SC)","South Carolina","$70868"
"Dole Bob (R)","","$66250"
"Craig Larry (R-ID)","Idaho","$64650"
"Hagerty Bill (R-TN)","Tennessee","$61845"
"Exon Jim (D-NE)","Nebraska","$61500"
"Ashcroft John (R-MO)","Missouri","$59900"
"Wirth Timothy E (D-CO)","Colorado","$59836"
"Thomas Craig (R-WY)","Wyoming","$59000"
"Gore Al (D)","","$58800"
"Brown Hank (R-CO)","Colorado","$58750"
"Hirono Mazie K (D-HI)","Hawaii","$58575"
"Breaux John (D-LA)","Louisiana","$57350"
"Wellstone Paul (D-MN)","Minnesota","$56867"
"Murkowski Frank H (R-AK)","Alaska","$54500"
"Coburn Tom (R-OK)","Oklahoma","$54282"
"Wilson Pete (R)","","$52750"
"Grams Rod (R-MN)","Minnesota","$51650"
"Domenici Pete V (R-NM)","New Mexico","$51300"
"Adams Brock (D-WA)","Washington","$50700"
"Frist Bill (R-TN)","Tennessee","$49550"
"Tuberville Tommy (R-AL)","Alabama","$47755"
"Helms Jesse (R-NC)","North Carolina","$46310"
"Sasser Jim (D-TN)","Tennessee","$41500"
"Hutchison Kay Bailey (R-TX)","Texas","$37500"
"Thompson Fred (R)","","$35250"
"Sununu John E (R-NH)","New Hampshire","$33550"
"Roth William V Jr (R-DE)","Delaware","$31550"
"Padilla Alex (D-CA)","California","$30850"
"Strange Luther (R-AL)","Alabama","$30318"
"Miller Zell (D-GA)","Georgia","$29000"
"Seymour John F (R-CA)","California","$28750"
"Bradley Bill (D)","","$28250"
"Gregg Judd (R-NH)","New Hampshire","$27750"
"Lummis Cynthia (R-WY)","Wyoming","$26450"
"Chafee Lincoln (L)","","$25100"
"Moynihan Daniel Patrick (D-NY)","New York","$20900"
"Dixon Alan J (D-IL)","Illinois","$20750"
"Jeffords James M (I-VT)","Vermont","$17950"
"Sanford James Terry (D-NC)","North Carolina","$16600"
"Lemieux George S (R-FL)","Florida","$16450"
"Walsh John (D-MT)","Montana","$15705"
"Deconcini Dennis (D-AZ)","Arizona","$14950"
"Faircloth Lauch (R-NC)","North Carolina","$14000"
"Bumpers Dale (D-AR)","Arkansas","$12000"
"Fitzgerald Peter G (R-IL)","Illinois","$11500"
"Riegle Donald W Jr (D-MI)","Michigan","$11000"
"Hagel Chuck (R-NE)","Nebraska","$9825"
"Nunn Sam (D-GA)","Georgia","$9380"
"Krueger Robert (Bob) (D-TX)","Texas","$8633"
"Ford Wendell H (D-KY)","Kentucky","$8000"
"Paul Rand (R-KY)","Kentucky","$6000"
"McClure James A (R-ID)","Idaho","$5750"
"Pryor David (D-AR)","Arkansas","$5500"
"Simpson Alan K (R-WY)","Wyoming","$4000"
"Cranston Alan (D)","","$3500"
"Heinz John (R-PA)","Pennsylvania","$3300"
"Kassebaum Nancy Landon (R-KS)","Kansas","$3000"
"Edwards John (D)","","$2000"
"Mitchell George J (D-ME)","Maine","$1750"
"Durenberger Dave (R-MN)","Minnesota","$1500"
"Bentsen Lloyd (D-TX)","Texas","$900"
"Kempthorne Dirk (R-ID)","Idaho","$500"
